Model,MAE,MSE,RMSE,R2,Adjusted_R2,CV_Score,Training_Score,Testing_Score,Rank
Multiple Linear Regression,16026.639934459947,504900255.18967366,22469.985651746058,0.9037995404849513,0.8902182991416503,0.8935332777051457,0.915283491447936,0.9037995404849513,1
Gradient Boosting Regressor,16387.73600911924,547690466.9787085,23402.78758991562,0.895646567705595,0.8809143184405026,0.8934064950019522,0.9619567561756985,0.895646567705595,2
Random Forest Regressor,18518.414331976088,725820964.6461599,26941.06465316766,0.8617067240372339,0.8421829674307257,0.8695640970064611,0.9764571895580578,0.8617067240372339,3
Decision Tree Regressor,25964.663264658495,1352198745.0092719,36772.25509822959,0.7423607152333547,0.7059881103251224,0.7751500756685249,0.8993153244860622,0.7423607152333547,4
Simple Linear Regression,40137.31209514073,3404754725.6799164,58350.276140562666,0.351279850267858,0.34904288423429897,0.5214764494441051,0.5120581042907297,0.351279850267858,5
