Model,MAE,MSE,RMSE,R2,Adjusted_R2,CV_Score,Training_Score,Testing_Score,Rank
Random Forest Regressor,3.903619960741556,32.01346581806103,5.658044345713546,0.8091707524375921,0.7941052855247703,0.6520733693608893,0.9151508673690898,0.8091707524375921,1
Gradient Boosting Regressor,3.969293767056354,36.414199554057554,6.034417913440993,0.7829383940814113,0.7658019515088912,0.6452001909045866,0.9300044490935542,0.7829383940814113,2
Decision Tree Regressor,4.49556911003041,42.40361802463426,6.511806049371731,0.7472360359995907,0.7272809862100846,0.5846057528310735,0.8176352044395694,0.7472360359995907,3
Multiple Linear Regression,5.305232952584969,53.50225236117991,7.314523385783923,0.6810781244679242,0.6559000816627603,0.5395718649681569,0.5581330550666436,0.6810781244679242,4
Simple Linear Regression,6.920972703573579,77.34399178518461,8.794543295998071,0.538959766501977,0.5332679117674335,0.42016371200844616,0.4316609371791118,0.538959766501977,5
