Model,MAE,MSE,RMSE,R2,Adjusted_R2,CV_Score,Training_Score,Testing_Score,Rank
Gradient Boosting Regressor,0.334824391807804,0.24710217244057545,0.4970937260120826,0.811431258070067,0.8110650162794772,0.8188624323321262,0.8694832764042262,0.811431258070067,1
Random Forest Regressor,0.32804161082128436,0.2559512621667428,0.5059162600339534,0.8046783359876447,0.8042989785435809,0.8042608204432782,0.9631783125017622,0.8046783359876447,2
Decision Tree Regressor,0.4309563376972978,0.4079839239814683,0.6387361927912558,0.6886590898292316,0.6880543976026314,0.710317446665574,0.8228758679632282,0.6886590898292316,3
Multiple Linear Regression,0.5332001304956565,0.5558915986952444,0.7455813830127764,0.5757877060324508,0.5749637928613558,0.6114839952560993,0.6125511913966952,0.5757877060324508,4
Simple Linear Regression,0.629908653009376,0.7091157771765548,0.8420901241414454,0.45885918903846656,0.4587280351821986,0.4767284943715149,0.47699273458205227,0.45885918903846656,5
